fecha,ticker,tipo,moneda,títulos,monto_bruto,comisión,valor_puro,precio_de_ejecución,ciclo_operativo
2026-02-09,GOOGL,Compra,USD,0.08913232,28.75,0.071875,28.678125,321.7477678,1.0
2026-02-17,GOOGL,Compra,USD,0.09673456,28.92,0.0723,28.8477,298.215033,1.0
2026-02-24,UBER,Compra,USD,0.40534016,28.95,0.072375,28.877625,71.24294074,1.0
2026-03-04,MSFT,Compra,USD,0.07945878,32.6,0.0815,32.5185,409.2499281,1.0
2026-03-06,GOOGL,Venta,USD,0.01670605,5.01,0.012525,4.997475,299.1416283,1.0
2026-03-06,MSFT,Compra,USD,0.0121058,5.0,0.0125,4.9875,411.9925986,1.0
2026-03-09,MSFT,Compra,USD,0.06809915,27.89,0.069725,27.820275,408.5260242,1.0
2026-03-15,GOOGL,Dividendo,USD,0.0,0.04,0.0,0.04,,
2026-03-17,MSFT,Compra,USD,0.07076212,28.35,0.070875,28.279125,399.6364863,1.0
2026-03-24,NVDA,Compra,USD,0.15929869,27.91,0.069775,27.840225,174.7674447,1.0
2026-03-30,MSTR,Compra,USD,0.1610315,19.99,0.049975,19.940025,123.82686,1.0
2026-03-30,MSFT,Compra,USD,0.10102,36.35,0.090875,36.259125,358.9301623,1.0
2026-03-30,NVDA,Compra,USD,0.0729461,12.12,0.0303,12.0897,165.7347,1.0
2026-03-30,GICSAB,Compra,MXN,2.0,5.79,0.014475,5.775525,2.8877625,1.0
2026-04-06,MSTR,Compra,USD,0.08241879,10.45,0.026125,10.423875,126.4744969,1.0
2026-04-06,NVDA,Compra,USD,0.08865047,15.69,0.039225,15.650775,176.5447493,1.0
2026-04-06,AXP,Compra,USD,0.05164478,15.7,0.03925,15.66075,303.2397466,1.0
2026-04-13,PFE,Compra,USD,0.3989005,10.73,0.026825,10.703175,26.83169111,1.0
2026-04-13,RACE,Compra,USD,0.0459417,16.12,0.0403,16.0797,350.0022855,1.0
2026-04-13,AXP,Compra,USD,0.04523298,14.31,0.035775,14.274225,315.5711828,1.0
2026-04-15,ACHR,Compra,USD,0.98842975,5.99,0.014975,5.975025,6.044966777,1.0
2026-04-15,PFE,Venta,USD,0.3989005,10.89,0.027225,10.862775,27.23179089,1.0
2026-04-15,RACE,Compra,USD,0.0146045,5.24,0.0131,5.2269,357.8965387,1.0
2026-04-16,MSTR,Compra,USD,0.10956419,15.76,0.0394,15.7206,143.4830121,1.0
2026-04-16,GICSAB,Venta,MXN,2.0,5.79,0.014475,5.775525,2.8877625,1.0
2026-04-17,AJUSTE,Compra,USD,,1.3351,,1.3351,,
2026-04-17,MSFT,Venta,USD,0.07248655,31.14,0.07785,31.21785,430.6709314,1.0
2026-04-23,RACE,Compra,USD,0.03069056,10.99,0.027475,10.962525,357.1953395,1.0
2026-04-23,ACHR,Compra,USD,0.25302268,1.5,0.00375,1.49625,5.913501509,1.0
2026-04-23,TSLA,Compra,USD,0.13502365,50.99,0.127475,50.862525,376.6934533,1.0
2026-04-27,NVDA,Venta,USD,0.08042161,16.96,0.0424,17.0024,211.4158122,1.0
2026-04-27,GOOGL,Venta,USD,0.0423749,14.91,0.037275,14.947275,352.7388855,1.0
2026-04-27,NVDA,Venta,USD,0.06030568,12.76,0.0319,12.7919,212.1176645,1.0
2026-04-27,AXP,Compra,USD,0.09471987,29.99,0.074975,29.915025,315.8262886,1.0
2026-04-27,RACE,Compra,USD,0.02863882,9.99,0.024975,9.965025,347.9551532,1.0
2026-04-28,RACE,Compra,USD,0.01752284,5.99,0.014975,5.975025,340.9849659,1.0
2026-04-28,MSFT,Venta,USD,0.03513396,15.06,0.03765,15.09765,429.7167185,1.0
2026-04-28,MSTR,Compra,USD,0.09134829,14.99,0.037475,14.952525,163.6869721,2.0
2026-04-29,RACE,Compra,USD,0.01467992,4.99,0.012475,4.977525,339.0703083,1.0
2026-04-29,UBER,Compra,USD,0.08086676,5.99,0.014975,5.975025,73.88728076,1.0
2026-04-29,MSTR,Compra,USD,0.03735426,5.99,0.014975,5.975025,159.9556516,2.0
2026-04-30,MSFT,Compra,USD,0.03716319,14.99,0.037475,14.952525,402.3477263,1.0
2026-04-30,NVDA,Compra,USD,0.06644773,13.36,0.0334,13.3266,200.5576413,1.0
2026-04-30,META,Compra,USD,0.0666113,40.11,0.100275,40.009725,600.6447104,1.0
2026-04-30,GOOGL,Venta,USD,0.03178493,12.19,0.030475,12.220475,384.4738686,1.0
2026-04-30,MSTR,Venta,USD,0.09675215,16.13,0.040325,16.170325,167.1314281,2.0
2026-05-04,RACE,Compra,USD,0.03504418,11.99,0.029975,11.960025,341.2842018,1.0
2026-05-04,META,Compra,USD,0.03310271,20.14,0.05035,20.08965,606.8883786,1.0
2026-05-04,NVDA,Compra,USD,0.07521131,15.1,0.03775,15.06225,200.2657579,1.0
2026-05-04,MSTR,Venta,USD,0.0319504,5.81,0.014525,5.824525,182.2989697,2.0
2026-05-04,GOOGL,Venta,USD,0.02731323,10.54,0.02635,10.56635,386.8583101,1.0
2026-05-04,UBER,Venta,USD,0.48620692,36.19,0.090475,36.280475,74.61941307,1.0
2026-05-05,GOOGL,Venta,USD,0.03393469,13.27,0.033175,13.303175,392.0228828,1.0
2026-05-05,AXP,Compra,USD,0.0470664,14.99,0.037475,14.952525,317.6900082,1.0
2026-05-05,META,Compra,USD,0.02466291,14.99,0.037475,14.952525,606.2757801,1.0
2026-05-05,NVDA,Compra,USD,0.09205369,18.4,0.046,18.354,199.3836423,1.0
2026-05-05,AAPL,Compra,USD,0.03575157,9.99,0.024975,9.965025,278.7297173,1.0
